filename,Class ID,xmin,ymin,xmax,ymax
1078.jpg,1,1626,675,1646,705
1078.jpg,1,1395,715,1403,726
1079.jpg,1,1360,762,1385,794
1080.jpg,1,1818,822,1921,946
1092.jpg,1,2145,465,2254,597
1093.jpg,1,1823,553,1863,606
1096.jpg,1,1473,573,1483,586
1097.jpg,1,1472,578,1481,595
1101.jpg,1,1809,542,1849,597
1102.jpg,1,1748,546,1779,586
1103.jpg,1,1464,510,1482,538
Screenshot (112).png,1,1175,539,1185,552
Screenshot (112).png,1,1051,638,1057,647
Screenshot (118).png,1,1803,542,1816,561
Screenshot (63).png,1,1643,636,1663,664
Screenshot (64).png,1,1771,627,1803,675
Screenshot (67).png,1,504,579,550,634
Screenshot (68).png,1,1096,620,1110,645
Screenshot (69).png,1,936,541,946,562
Screenshot (82).png,1,1419,533,1426,545
Screenshot (83).png,1,1404,516,1414,529
Screenshot (84).png,1,1386,493,1399,510
104.jpg,1,660,409,677,433
105.jpg,1,272,392,327,456
106.jpg,1,787,411,799,427
147.jpg,1,1210,551,1225,574
148.jpg,1,1358,537,1384,576
73.jpg,1,748,442,759,457
75.jpg,1,1000,453,1027,494
76.jpg,1,1387,280,1497,464
93.jpg,1,380,316,421,371
DSC-0152.jpg,1,2188,1118,2220,1167
DSC-0153.jpg,1,2142,1076,2181,1135
P1830966.jpg,1,496,1721,566,1825
P1830967.jpg,1,634,1622,709,1740
P1830968.jpg,1,889,1534,1017,1731
P1830969.jpg,1,3042,1538,3087,1609
P1830970.jpg,1,3546,1856,3610,1953
P1840085.jpg,1,3049,1815,3164,1981
P1840086.jpg,1,3258,1466,3418,1700
P1840087.jpg,1,3422,1349,3628,1650
P1840108.jpg,1,1220,1727,1263,1796
P1840110.jpg,1,1930,1350,1970,1410
P1840111.jpg,1,1793,1066,1851,1151
P1840112.jpg,1,1831,751,1918,882
P1840113.jpg,1,2713,1633,2956,1875
P1840114.jpg,1,1947,1997,2034,2083
P1840115.jpg,1,2376,1544,2435,1628
P1840131.jpg,1,2918,1376,3070,1566
P1840132.jpg,1,3331,1121,3552,1397
