File Name;X;Y;Width;Height;Sign Type;Sign Group;Sign Class;TS Class;Class ID;TS Color;Shape;Shape ID;Lightning;Image Source
'1.jpg';581;490;19;17;'RP';7;60;'RP',7,60;22;Red;'Red Circle';1;'Day Light';'Google Street View'
'1.jpg';886;483;14;14;'RP';7;60;'RP',7,60;22;Red;'Red Circle';1;'Day Light';'Google Street View'
'10.jpg';801;493;21;21;'RP';8;3;'RP',8,3;28;Red;'Directive No';2;'Day Light';'Google Street View'
'10.jpg';1157;477;23;22;'RP';8;3;'RP',8,3;28;Red;'Directive No';2;'Day Light';'Google Street View'
'100.jpg';638;421;38;37;'WD';16;1;'WD',16,1;46;Yellow;'Diamond';3;'Day Light';'Google Street View'
'100.jpg';760;415;15;14;'RP';7;60;'RP',7,60;22;Red;'Red Circle';1;'Day Light';'Google Street View'
'101.jpg';356;350;52;53;'RP';7;60;'RP',7,60;22;Red;'Red Circle';1;'Day Light';'Google Street View'
'102.jpg';633;390;32;30;'T';1;1;'T',1,1;34;Yellow;'Diamond';3;'Day Light';'Google Street View'
'103.jpg';1026;369;42;46;'WD';23;1;'WD',23,1;49;Yellow;'Diamond';3;'Day Light';'Google Street View'
'103.jpg';1025;420;42;46;'WD';36;1;'WD',36,1;62;Yellow;'Diamond';3;'Day Light';'Google Street View'
'103.jpg';721;439;20;19;'RP';7;50;'RP',7,50;21;Red;'Red Circle';1;'Day Light';'Google Street View'
'104.jpg';660;409;17;24;'GI';9;1;'GI',9,1;1;Blue;'Rectangle';4;'Day Light';'Google Street View'
'105.jpg';272;392;55;64;'GI';9;1;'GI',9,1;1;Blue;'Rectangle';4;'Day Light';'Google Street View'
'106.jpg';787;411;12;16;'GI';9;1;'GI',9,1;1;Blue;'Rectangle';4;'Day Light';'Google Street View'
'107.jpg';406;562;67;57;'WD';36;1;'WD',36,1;62;Yellow;'Diamond';3;'Day Light';'Google Street View'
'107.jpg';563;515;47;45;'WD';36;1;'WD',36,1;62;Yellow;'Diamond';3;'Day Light';'Google Street View'
'107.jpg';566;469;48;42;'WD';23;1;'WD',23,1;49;Yellow;'Diamond';3;'Day Light';'Google Street View'
'107.jpg';767;462;19;18;'WD';22;1;'WD',22,1;48;Yellow;'Diamond';3;'Day Light';'Google Street View'
'108.jpg';676;466;34;31;'WD';22;1;'WD',22,1;48;Yellow;'Diamond';3;'Day Light';'Google Street View'
'109.jpg';733;495;26;23;'RM';1;5;'RM',1,5;2;Blue;'Blue Circle';5;'Day Light';'Google Street View'
'11.jpg';538;408;30;27;'WD';30;1;'WD',30,1;59;Yellow;'Diamond';3;'Day Light';'Google Street View'
'110.jpg';326;517;56;44;'RM';1;5;'RM',1,5;2;Blue;'Blue Circle';5;'Day Light';'Google Street View'
'111.jpg';1160;441;40;50;'WD';28;2;'WD',28,2;57;Yellow;'Diamond';3;'Day Light';'Google Street View'
'112.jpg';1496;446;40;40;'WD';23;1;'WD',23,1;49;Yellow;'Diamond';3;'Day Light';'Google Street View'
'112.jpg';1497;490;40;42;'WD';36;1;'WD',36,1;62;Yellow;'Diamond';3;'Day Light';'Google Street View'
'113.jpg';794;451;31;31;'T';1;1;'T',1,1;34;Yellow;'Diamond';3;'Day Light';'Google Street View'
'113.jpg';1052;442;18;18;'RM';1;6;'RM',1,6;3;Blue;'Blue Circle';5;'Day Light';'Google Street View'
'114.jpg';626;410;79;79;'T';1;1;'T',1,1;34;Yellow;'Diamond';3;'Day Light';'Google Street View'
'114.jpg';1123;427;28;27;'RM';1;6;'RM',1,6;3;Blue;'Blue Circle';5;'Day Light';'Google Street View'
'114.jpg';1011;469;12;11;'RM';1;6;'RM',1,6;3;Blue;'Blue Circle';5;'Day Light';'Google Street View'
'115.jpg';1036;463;14;14;'RM';1;6;'RM',1,6;3;Blue;'Blue Circle';5;'Day Light';'Google Street View'
'115.jpg';1307;375;52;53;'RM';1;6;'RM',1,6;3;Blue;'Blue Circle';5;'Day Light';'Google Street View'
'116.jpg';847;467;23;23;'WD';28;2;'WD',28,2;57;Yellow;'Diamond';3;'Day Light';'Google Street View'
'117.jpg';428;374;116;139;'WD';28;2;'WD',28,2;57;Yellow;'Diamond';3;'Day Light';'Google Street View'
'117.jpg';712;452;22;21;'RP';7;40;'RP',7,40;20;Red;'Red Circle';1;'Day Light';'Google Street View'
'118.jpg';240;417;67;67;'RP';7;40;'RP',7,40;20;Red;'Red Circle';1;'Day Light';'Google Street View'
'118.jpg';685;457;26;23;'RM';1;5;'RM',1,5;2;Blue;'Blue Circle';5;'Day Light';'Google Street View'
'119.jpg';446;416;25;28;'RP';13;1;'RP',13,1;31;Red;'Flip Triangle';6;'Day Light';'Google Street View'
'119.jpg';631;439;34;32;'RM';1;5;'RM',1,5;2;Blue;'Blue Circle';5;'Day Light';'Google Street View'
'119.jpg';845;431;11;11;'RM';1;5;'RM',1,5;2;Blue;'Blue Circle';5;'Day Light';'Google Street View'
'12.jpg';511;404;56;50;'WD';30;1;'WD',30,1;59;Yellow;'Diamond';3;'Day Light';'Google Street View'
'120.jpg';589;433;36;38;'WD';8;1;'WD',8,1;39;Yellow;'Diamond';3;'Day Light';'Google Street View'
'121.jpg';733;317;20;19;'RP';13;1;'RP',13,1;31;Red;'Flip Triangle';6;'Day Light';'Google Street View'
'122.jpg';1150;491;18;24;'RM';1;6;'RM',1,6;3;Blue;'Blue Circle';5;'Day Light';'Google Street View'
'123.jpg';1348;537;37;56;'RM';1;6;'RM',1,6;3;Blue;'Blue Circle';5;'Day Light';'Google Street View'
'123.jpg';1019;462;17;17;'WD';36;1;'WD',36,1;62;Yellow;'Diamond';3;'Day Light';'Google Street View'
'124.jpg';787;430;26;27;'RP';5;5;'RP',5,5;11;Red;'Red Circle';1;'Day Light';'Google Street View'
'124.jpg';1024;429;18;18;'RP';5;5;'RP',5,5;11;Red;'Red Circle';1;'Day Light';'Google Street View'
'124.jpg';1029;468;23;22;'WD';36;1;'WD',36,1;62;Yellow;'Diamond';3;'Day Light';'Google Street View'
