File Name;Sign Type;Sign Group;Sign Class;TS Class;Class ID;Lightning;Image Source
'1_1.jpg';'RP';7;60;'RP',7,60;22;'Day Light';'Google Street View'
'1_2.jpg';'RP';7;60;'RP',7,60;22;'Day Light';'Google Street View'
'10_1.jpg';'RP';8;3;'RP',8,3;28;'Day Light';'Google Street View'
'10_2.jpg';'RP';8;3;'RP',8,3;28;'Day Light';'Google Street View'
'100_1.jpg';'WD';16;1;'WD',16,1;46;'Day Light';'Google Street View'
'100_2.jpg';'RP';7;60;'RP',7,60;22;'Day Light';'Google Street View'
'101_1.jpg';'RP';7;60;'RP',7,60;22;'Day Light';'Google Street View'
'102_1.jpg';'T';1;1;'T',1,1;34;'Day Light';'Google Street View'
'103_1.jpg';'WD';23;1;'WD',23,1;49;'Day Light';'Google Street View'
'103_2.jpg';'WD';36;1;'WD',36,1;62;'Day Light';'Google Street View'
'103_3.jpg';'RP';7;50;'RP',7,50;21;'Day Light';'Google Street View'
'104_1.jpg';'GI';9;1;'GI',9,1;1;'Day Light';'Google Street View'
'105_1.jpg';'GI';9;1;'GI',9,1;1;'Day Light';'Google Street View'
'106_1.jpg';'GI';9;1;'GI',9,1;1;'Day Light';'Google Street View'
'107_1.jpg';'WD';36;1;'WD',36,1;62;'Day Light';'Google Street View'
'107_2.jpg';'WD';36;1;'WD',36,1;62;'Day Light';'Google Street View'
'107_3.jpg';'WD';23;1;'WD',23,1;49;'Day Light';'Google Street View'
'107_4.jpg';'WD';22;1;'WD',22,1;48;'Day Light';'Google Street View'
'108_1.jpg';'WD';22;1;'WD',22,1;48;'Day Light';'Google Street View'
'109_1.jpg';'RM';1;5;'RM',1,5;2;'Day Light';'Google Street View'
'11_1.jpg';'WD';30;1;'WD',30,1;59;'Day Light';'Google Street View'
'110_1.jpg';'RM';1;5;'RM',1,5;2;'Day Light';'Google Street View'
'111_1.jpg';'WD';28;2;'WD',28,2;57;'Day Light';'Google Street View'
'112_1.jpg';'WD';23;1;'WD',23,1;49;'Day Light';'Google Street View'
'112_2.jpg';'WD';36;1;'WD',36,1;62;'Day Light';'Google Street View'
'113_1.jpg';'T';1;1;'T',1,1;34;'Day Light';'Google Street View'
'113_2.jpg';'RM';1;6;'RM',1,6;3;'Day Light';'Google Street View'
'114_1.jpg';'T';1;1;'T',1,1;34;'Day Light';'Google Street View'
'114_2.jpg';'RM';1;6;'RM',1,6;3;'Day Light';'Google Street View'
'114_50.jpg';'RM';1;6;'RM',1,6;3;'Day Light';'Google Street View'
'115_1.jpg';'RM';1;6;'RM',1,6;3;'Day Light';'Google Street View'
'115_2.jpg';'RM';1;6;'RM',1,6;3;'Day Light';'Google Street View'
'116_1.jpg';'WD';28;2;'WD',28,2;57;'Day Light';'Google Street View'
'117_1.jpg';'WD';28;2;'WD',28,2;57;'Day Light';'Google Street View'
'117_2.jpg';'RP';7;40;'RP',7,40;20;'Day Light';'Google Street View'
'118_1.jpg';'RP';7;40;'RP',7,40;20;'Day Light';'Google Street View'
'118_2.jpg';'RM';1;5;'RM',1,5;2;'Day Light';'Google Street View'
'119_1.jpg';'RP';13;1;'RP',13,1;31;'Day Light';'Google Street View'
'119_2.jpg';'RM';1;5;'RM',1,5;2;'Day Light';'Google Street View'
'119_50.jpg';'RM';1;5;'RM',1,5;2;'Day Light';'Google Street View'
'12_1.jpg';'WD';30;1;'WD',30,1;59;'Day Light';'Google Street View'
'120_1.jpg';'WD';8;1;'WD',8,1;39;'Day Light';'Google Street View'
'121_1.jpg';'RP';13;1;'RP',13,1;31;'Day Light';'Google Street View'
'122_1.jpg';'RM';1;6;'RM',1,6;3;'Day Light';'Google Street View'
'123_1.jpg';'RM';1;6;'RM',1,6;3;'Day Light';'Google Street View'
'123_2.jpg';'WD';36;1;'WD',36,1;62;'Day Light';'Google Street View'
