File Name;Lightning;Image Source;Number of TS
'1.jpg';'Day Light';'Google Street View';2
'10.jpg';'Day Light';'Google Street View';2
'100.jpg';'Day Light';'Google Street View';2
'101.jpg';'Day Light';'Google Street View';1
'102.jpg';'Day Light';'Google Street View';1
'103.jpg';'Day Light';'Google Street View';3
'104.jpg';'Day Light';'Google Street View';1
'105.jpg';'Day Light';'Google Street View';1
'106.jpg';'Day Light';'Google Street View';1
'107.jpg';'Day Light';'Google Street View';4
'108.jpg';'Day Light';'Google Street View';1
'109.jpg';'Day Light';'Google Street View';1
'11.jpg';'Day Light';'Google Street View';1
'110.jpg';'Day Light';'Google Street View';1
'111.jpg';'Day Light';'Google Street View';1
'112.jpg';'Day Light';'Google Street View';2
'113.jpg';'Day Light';'Google Street View';2
'114.jpg';'Day Light';'Google Street View';3
'115.jpg';'Day Light';'Google Street View';2
'116.jpg';'Day Light';'Google Street View';1
'117.jpg';'Day Light';'Google Street View';2
'118.jpg';'Day Light';'Google Street View';2
'119.jpg';'Day Light';'Google Street View';3
'12.jpg';'Day Light';'Google Street View';1
'120.jpg';'Day Light';'Google Street View';1
'121.jpg';'Day Light';'Google Street View';1
'122.jpg';'Day Light';'Google Street View';1
'123.jpg';'Day Light';'Google Street View';2
'124.jpg';'Day Light';'Google Street View';3
'125.jpg';'Day Light';'Google Street View';2
'126.jpg';'Day Light';'Google Street View';1
'127.jpg';'Day Light';'Google Street View';1
'128.jpg';'Day Light';'Google Street View';1
'129.jpg';'Day Light';'Google Street View';1
'13.jpg';'Day Light';'Google Street View';1
'130.jpg';'Day Light';'Google Street View';2
'131.jpg';'Day Light';'Google Street View';2
'132.jpg';'Day Light';'Google Street View';1
'133.jpg';'Day Light';'Google Street View';1
'134.jpg';'Day Light';'Google Street View';3
'135.jpg';'Day Light';'Google Street View';2
'136.jpg';'Day Light';'Google Street View';2
'137.jpg';'Day Light';'Google Street View';1
'138.jpg';'Day Light';'Google Street View';4
'139.jpg';'Day Light';'Google Street View';3
'14.jpg';'Day Light';'Google Street View';1
'140.jpg';'Day Light';'Google Street View';2
'141.jpg';'Day Light';'Google Street View';2
'142.jpg';'Day Light';'Google Street View';2
'143.jpg';'Day Light';'Google Street View';2
'144.jpg';'Day Light';'Google Street View';1
'145.jpg';'Day Light';'Google Street View';1
'146.jpg';'Day Light';'Google Street View';2
'147.jpg';'Day Light';'Google Street View';1
'148.jpg';'Day Light';'Google Street View';1
'149.jpg';'Day Light';'Google Street View';1
'15.jpg';'Day Light';'Google Street View';1
'150.jpg';'Day Light';'Google Street View';1
'151.jpg';'Day Light';'Google Street View';1
'152.jpg';'Day Light';'Google Street View';1
'153.jpg';'Day Light';'Google Street View';1
'154.jpg';'Day Light';'Google Street View';1
'155.jpg';'Day Light';'Google Street View';1
'156.jpg';'Day Light';'Google Street View';3
'157.jpg';'Day Light';'Google Street View';1
'16.jpg';'Day Light';'Google Street View';2
'17.jpg';'Day Light';'Google Street View';1
'18.jpg';'Day Light';'Google Street View';1
'19.jpg';'Day Light';'Google Street View';2
'2.jpg';'Day Light';'Google Street View';2
'20.jpg';'Day Light';'Google Street View';3
'21.jpg';'Day Light';'Google Street View';2
'22.jpg';'Day Light';'Google Street View';1
'23.jpg';'Day Light';'Google Street View';1
'24.jpg';'Day Light';'Google Street View';1
'25.jpg';'Day Light';'Google Street View';1
'26.jpg';'Day Light';'Google Street View';3
'27.jpg';'Day Light';'Google Street View';2
'28.jpg';'Day Light';'Google Street View';3
'29.jpg';'Day Light';'Google Street View';2
'3.jpg';'Day Light';'Google Street View';1
'30.jpg';'Day Light';'Google Street View';2
'31.jpg';'Day Light';'Google Street View';2
'32.jpg';'Day Light';'Google Street View';2
'33.jpg';'Day Light';'Google Street View';1
'34.jpg';'Day Light';'Google Street View';1
'35.jpg';'Day Light';'Google Street View';1
'36.jpg';'Day Light';'Google Street View';1
'37.jpg';'Day Light';'Google Street View';1
'38.jpg';'Day Light';'Google Street View';1
'39.jpg';'Day Light';'Google Street View';2
'4.jpg';'Day Light';'Google Street View';1
'40.jpg';'Day Light';'Google Street View';4
'41.jpg';'Day Light';'Google Street View';2
