File Name;X;Y;Width;Height;TS Color;Shape;Class ID;Lightning;Image Source
'1.jpg';581;490;19;17;Red;'Red Circle';1;'Day Light';'Google Street View'
'1.jpg';886;483;14;14;Red;'Red Circle';1;'Day Light';'Google Street View'
'10.jpg';801;493;21;21;Red;'Directive No';2;'Day Light';'Google Street View'
'10.jpg';1157;477;23;22;Red;'Directive No';2;'Day Light';'Google Street View'
'100.jpg';638;421;38;37;Yellow;'Diamond';3;'Day Light';'Google Street View'
'100.jpg';760;415;15;14;Red;'Red Circle';1;'Day Light';'Google Street View'
'101.jpg';356;350;52;53;Red;'Red Circle';1;'Day Light';'Google Street View'
'102.jpg';633;390;32;30;Yellow;'Diamond';3;'Day Light';'Google Street View'
'103.jpg';1026;369;42;46;Yellow;'Diamond';3;'Day Light';'Google Street View'
'103.jpg';1025;420;42;46;Yellow;'Diamond';3;'Day Light';'Google Street View'
'103.jpg';721;439;20;19;Red;'Red Circle';1;'Day Light';'Google Street View'
'104.jpg';660;409;17;24;Blue;'Rectangle';4;'Day Light';'Google Street View'
'105.jpg';272;392;55;64;Blue;'Rectangle';4;'Day Light';'Google Street View'
'106.jpg';787;411;12;16;Blue;'Rectangle';4;'Day Light';'Google Street View'
'107.jpg';406;562;67;57;Yellow;'Diamond';3;'Day Light';'Google Street View'
'107.jpg';563;515;47;45;Yellow;'Diamond';3;'Day Light';'Google Street View'
'107.jpg';566;469;48;42;Yellow;'Diamond';3;'Day Light';'Google Street View'
'107.jpg';767;462;19;18;Yellow;'Diamond';3;'Day Light';'Google Street View'
'108.jpg';676;466;34;31;Yellow;'Diamond';3;'Day Light';'Google Street View'
'109.jpg';733;495;26;23;Blue;'Blue Circle';5;'Day Light';'Google Street View'
'11.jpg';538;408;30;27;Yellow;'Diamond';3;'Day Light';'Google Street View'
'110.jpg';326;517;56;44;Blue;'Blue Circle';5;'Day Light';'Google Street View'
'111.jpg';1160;441;40;50;Yellow;'Diamond';3;'Day Light';'Google Street View'
'112.jpg';1496;446;40;40;Yellow;'Diamond';3;'Day Light';'Google Street View'
'112.jpg';1497;490;40;42;Yellow;'Diamond';3;'Day Light';'Google Street View'
'113.jpg';794;451;31;31;Yellow;'Diamond';3;'Day Light';'Google Street View'
'113.jpg';1052;442;18;18;Blue;'Blue Circle';5;'Day Light';'Google Street View'
'114.jpg';626;410;79;79;Yellow;'Diamond';3;'Day Light';'Google Street View'
'114.jpg';1123;427;28;27;Blue;'Blue Circle';5;'Day Light';'Google Street View'
'114.jpg';1011;469;12;11;Blue;'Blue Circle';5;'Day Light';'Google Street View'
'115.jpg';1036;463;14;14;Blue;'Blue Circle';5;'Day Light';'Google Street View'
'115.jpg';1307;375;52;53;Blue;'Blue Circle';5;'Day Light';'Google Street View'
'116.jpg';847;467;23;23;Yellow;'Diamond';3;'Day Light';'Google Street View'
'117.jpg';428;374;116;139;Yellow;'Diamond';3;'Day Light';'Google Street View'
'117.jpg';712;452;22;21;Red;'Red Circle';1;'Day Light';'Google Street View'
'118.jpg';240;417;67;67;Red;'Red Circle';1;'Day Light';'Google Street View'
'118.jpg';685;457;26;23;Blue;'Blue Circle';5;'Day Light';'Google Street View'
'119.jpg';446;416;25;28;Red;'Flip Triangle';6;'Day Light';'Google Street View'
'119.jpg';631;439;34;32;Blue;'Blue Circle';5;'Day Light';'Google Street View'
'119.jpg';845;431;11;11;Blue;'Blue Circle';5;'Day Light';'Google Street View'
'12.jpg';511;404;56;50;Yellow;'Diamond';3;'Day Light';'Google Street View'
'120.jpg';589;433;36;38;Yellow;'Diamond';3;'Day Light';'Google Street View'
'121.jpg';733;317;20;19;Red;'Flip Triangle';6;'Day Light';'Google Street View'
'122.jpg';1150;491;18;24;Blue;'Blue Circle';5;'Day Light';'Google Street View'
'123.jpg';1348;537;37;56;Blue;'Blue Circle';5;'Day Light';'Google Street View'
'123.jpg';1019;462;17;17;Yellow;'Diamond';3;'Day Light';'Google Street View'
'124.jpg';787;430;26;27;Red;'Red Circle';1;'Day Light';'Google Street View'
'124.jpg';1024;429;18;18;Red;'Red Circle';1;'Day Light';'Google Street View'
'124.jpg';1029;468;23;22;Yellow;'Diamond';3;'Day Light';'Google Street View'
'125.jpg';601;389;46;49;Red;'Regulatory No';7;'Day Light';'Google Street View'
'125.jpg';729;361;31;29;Yellow;'Diamond';3;'Day Light';'Google Street View'
'126.jpg';492;341;94;81;Yellow;'Diamond';3;'Day Light';'Google Street View'
'127.jpg';766;330;21;21;Yellow;'Diamond';3;'Day Light';'Google Street View'
'128.jpg';728;319;33;33;Yellow;'Diamond';3;'Day Light';'Google Street View'
'129.jpg';471;282;67;67;Yellow;'Diamond';3;'Day Light';'Google Street View'
'13.jpg';642;438;35;31;Yellow;'Diamond';3;'Day Light';'Google Street View'
'130.jpg';497;460;85;86;Yellow;'Diamond';3;'Day Light';'Google Street View'
'130.jpg';571;424;91;82;Yellow;'Diamond';3;'Day Light';'Google Street View'
'131.jpg';709;379;65;79;Yellow;'Diamond';3;'Day Light';'Google Street View'
'131.jpg';836;194;56;59;Red;'Regulatory No';7;'Day Light';'Google Street View'
'132.jpg';1488;321;51;41;Red;'No Entry';8;'Day Light';'Google Street View'
'133.jpg';595;402;33;30;Yellow;'Diamond';3;'Day Light';'Google Street View'
'134.jpg';447;247;78;70;Yellow;'Diamond';3;'Day Light';'Google Street View'
'134.jpg';1192;246;30;29;Yellow;'Diamond';3;'Day Light';'Google Street View'
'134.jpg';730;277;16;22;Red;'Directive No';2;'Day Light';'Google Street View'
'135.jpg';301;253;72;65;Yellow;'Pentagon';9;'Day Light';'Google Street View'
'135.jpg';312;332;71;58;Red;'Red Circle';1;'Day Light';'Google Street View'
'136.jpg';570;411;44;39;Yellow;'Diamond';3;'Day Light';'Google Street View'
'136.jpg';718;411;21;20;Yellow;'Diamond';3;'Day Light';'Google Street View'
'137.jpg';654;403;37;35;Yellow;'Diamond';3;'Day Light';'Google Street View'
'138.jpg';1351;588;64;68;Yellow;'Diamond';3;'Day Light';'Google Street View'
'138.jpg';1294;486;51;51;Yellow;'Diamond';3;'Day Light';'Google Street View'
'138.jpg';1294;543;51;52;Yellow;'Diamond';3;'Day Light';'Google Street View'
'138.jpg';1164;309;30;30;Red;'Red Circle';1;'Day Light';'Google Street View'
'139.jpg';791;276;35;33;Red;'Red Circle';1;'Day Light';'Google Street View'
'139.jpg';780;501;51;48;Yellow;'Diamond';3;'Day Light';'Google Street View'
'139.jpg';778;446;53;49;Yellow;'Diamond';3;'Day Light';'Google Street View'
'14.jpg';626;389;32;33;Yellow;'Diamond';3;'Day Light';'Google Street View'
'140.jpg';743;491;23;23;Yellow;'Diamond';3;'Day Light';'Google Street View'
'140.jpg';1093;515;17;21;Yellow;'Diamond';3;'Day Light';'Google Street View'
'141.jpg';370;472;50;56;Yellow;'Diamond';3;'Day Light';'Google Street View'
'141.jpg';1140;516;51;54;Yellow;'Diamond';3;'Day Light';'Google Street View'
'142.jpg';636;333;36;34;Blue;'Blue Circle';5;'Day Light';'Google Street View'
'142.jpg';1172;310;24;20;Blue;'Blue Circle';5;'Day Light';'Google Street View'
'143.jpg';1268;492;31;29;Blue;'Blue Circle';5;'Day Light';'Google Street View'
'143.jpg';152;619;107;94;Blue;'Blue Circle';5;'Day Light';'Google Street View'
'144.jpg';1293;405;39;35;Red;'Flip Triangle';6;'Day Light';'Google Street View'
'145.jpg';717;440;35;34;Yellow;'Diamond';3;'Day Light';'Google Street View'
'146.jpg';1558;490;69;61;Yellow;'Diamond';3;'Day Light';'Google Street View'
'146.jpg';1033;289;32;29;Red;'Red Circle';1;'Day Light';'Google Street View'
'147.jpg';1210;551;15;23;Blue;'Rectangle';4;'Day Light';'Google Street View'
